#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=KD']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.029126376342773437,0.1,1.0,0.0
1,1.9260085748166453,0.20677054658228036,0.9999697804450989,1.000030279159546,0.29604837845782844,1.0,0.004681778717041015,0.222259033203125,0.2203,0.9995,198.74166464805603
2,1.6235409172213808,0.13392381278835996,0.9998892545700073,1.0001106262207031,0.406534700977559,0.9996611926020408,0.004631290054321289,0.19422322998046876,0.2596,0.9978,198.66143107414246
3,1.492412333585778,0.09347137139768016,0.9997544884681702,1.0002453327178955,0.4575702900789222,0.9998405612244898,0.004654043579101563,0.19007742919921874,0.2733,0.9908,198.92967176437378
4,1.419053213936942,0.0672608200384646,0.9995704889297485,1.0004295110702515,0.4866403462935467,0.9998804209183674,0.004478671646118164,0.17568565673828124,0.2848,0.9899,198.96654176712036
5,1.3586020956234055,0.04995857452859684,0.9993488192558289,1.000651240348816,0.5104584207340163,0.9999601403061225,0.0046324234008789066,0.205810205078125,0.2985,0.9794,198.38522624969482
6,1.3029756351393096,0.03986691212167545,0.9991077184677124,1.0008922815322876,0.5290187913544324,0.9999402104591837,0.0043584907531738284,0.1857629150390625,0.3224,0.9845,198.78043365478516
7,1.2594250270298548,0.032177151465902526,0.9988475441932678,1.001152515411377,0.5440924118976204,0.9999601403061225,0.004685550689697266,0.2050488525390625,0.3133,0.9737,198.71799564361572
8,1.2251365038813378,0.02605296397695736,0.9985699653625488,1.0014301538467407,0.559818968480947,0.9999800701530612,0.004491546249389649,0.188854248046875,0.3198,0.9579,198.98549914360046
9,1.194409973767339,0.022809408148940728,0.9982854723930359,1.0017145872116089,0.5710717415323063,0.9999601403061225,0.004419423675537109,0.18776337890625,0.3369,0.969,199.18425726890564
10,1.1639353693748007,0.019459116215608557,0.997991144657135,1.0020089149475098,0.5812853209826411,0.9999402104591837,0.004445773315429688,0.204624462890625,0.3419,0.9579,198.95156955718994
11,1.1400659522231744,0.01752716911082365,0.9976913332939148,1.0023086071014404,0.5908639868911432,0.9999202806122449,0.004407340621948242,0.19182493896484376,0.3404,0.9641,198.87902212142944
12,1.114795918367347,0.015697582643859242,0.9973880648612976,1.002611756324768,0.6009000661421795,0.9999601403061225,0.004390428924560547,0.216159716796875,0.3608,0.9468,199.14951944351196
13,1.0883251890844228,0.014939075830031415,0.9970887303352356,1.0029112100601196,0.6124309228391064,0.9999402104591837,0.004413459777832031,0.192851318359375,0.3638,0.97,199.8380904197693
14,1.061273769456513,0.013006756500321992,0.9967821836471558,1.0032176971435547,0.6201874090700733,0.9999601403061225,0.004450885772705078,0.18630963134765624,0.3572,0.9555,198.88662123680115
15,1.0399763924734933,0.012284753273944465,0.9964777231216431,1.003522276878357,0.6280397687639508,0.9999402104591837,0.0042444202423095705,0.19564571533203126,0.3797,0.9601,199.12387800216675
16,1.0211943023058834,0.011517877481421647,0.996171772480011,1.0038281679153442,0.635634013584682,0.9999800701530612,0.004557585906982422,0.2098269287109375,0.3627,0.9477,199.28962993621826
17,1.0071934291294642,0.01050672604113209,0.9958609342575073,1.0041391849517822,0.6399720639598613,0.9999202806122449,0.004274518203735351,0.212104833984375,0.3884,0.9501,199.90380430221558
18,0.9889109086017219,0.00970722035485871,0.995547890663147,1.004452109336853,0.6468630420918368,0.9999601403061225,0.004319843673706055,0.20031416015625,0.3856,0.9612,198.96624279022217
19,0.972967731709383,0.009013622390980624,0.9952320456504822,1.004767894744873,0.6515721690898039,0.9999601403061225,0.004421672058105469,0.19360455322265624,0.3862,0.9576,195.4116771221161
20,0.9526369523028938,0.008202139212160694,0.9949146509170532,1.0050854682922363,0.6615807669503349,0.9999402104591837,0.004213263702392578,0.2048322509765625,0.4165,0.9507,195.06227159500122
21,0.9345170624402105,0.008062655828437027,0.9945998787879944,1.0054000616073608,0.6681386208047673,0.9999402104591837,0.004503121566772461,0.210308642578125,0.3963,0.9502,194.07484197616577
22,0.921407972063337,0.00721884442835438,0.9942811727523804,1.00571870803833,0.6713738733408402,0.9999402104591837,0.004305772399902344,0.2263955078125,0.4161,0.9446,194.21422863006592
23,0.9099219185965401,0.006934443906861909,0.9939601421356201,1.0060399770736694,0.6749821876992985,0.9999800701530612,0.004293485260009766,0.210842431640625,0.405,0.9636,194.21042466163635
24,0.8883549437230948,0.006555324306293409,0.9936420321464539,1.0063579082489014,0.6828440452108577,0.9999202806122449,0.0042831157684326175,0.21065390625,0.4149,0.937,194.45876669883728
25,0.8786002178581394,0.005934248165208466,0.9933186769485474,1.0066813230514526,0.6859796485122369,1.0,0.004362794876098633,0.215608154296875,0.4021,0.9526,193.36685609817505
26,0.8653446898168448,0.005621981864072838,0.9929929971694946,1.0070070028305054,0.6919709030462771,0.9999800701530612,0.004183845901489258,0.230584912109375,0.4152,0.943,193.42771816253662
27,0.8545850637007733,0.005301541211653729,0.992667019367218,1.0073330402374268,0.6956959160006776,0.9999601403061225,0.004314019393920898,0.2255293701171875,0.4166,0.9448,193.18853783607483
28,0.8409048586475606,0.005124157180591505,0.9923425316810608,1.007657527923584,0.6998023986816406,0.9999601403061225,0.004261917877197266,0.2212328125,0.417,0.9404,193.2943217754364
29,0.8279131675253109,0.004847217275171864,0.9920145869255066,1.0079854726791382,0.7051891404755262,0.9999800701530612,0.004226537704467773,0.241119677734375,0.4269,0.9459,193.21922993659973
30,0.8131281015824299,0.004530626292131385,0.9916894435882568,1.0083106756210327,0.710350970832669,0.9999402104591837,0.004951835632324219,0.22664677734375,0.3879,0.9367,193.32717847824097
31,0.8049931428870376,0.004368146463316314,0.9913626313209534,1.0086373090744019,0.7153476792938855,0.9999601403061225,0.004319184875488281,0.271693603515625,0.4252,0.9339,193.926837682724
32,0.7870459264638473,0.004241348833453899,0.9910383820533752,1.00896155834198,0.7224645809251435,0.9999601403061225,0.0043794677734375,0.2304462890625,0.4282,0.93,194.02014064788818
33,0.7809299546845105,0.003942601838890387,0.9907126426696777,1.0092872381210327,0.7232398986816406,0.9999601403061225,0.004248390579223633,0.2265350830078125,0.4264,0.9471,194.53584337234497
34,0.768625376175861,0.0037527178623238387,0.9903841614723206,1.0096157789230347,0.7256058673469388,0.9999601403061225,0.00444207763671875,0.2781871826171875,0.4173,0.9192,194.62220120429993
35,0.7583373712033642,0.003480116931759581,0.9900534749031067,1.0099464654922485,0.7306424355020329,1.0,0.004764256286621094,0.272421875,0.4013,0.9217,194.73128962516785
36,0.7430305480957031,0.003488074760047757,0.9897290468215942,1.0102708339691162,0.737430883913624,0.9999800701530612,0.00433238525390625,0.253344677734375,0.4255,0.9246,194.5178632736206
37,0.7282106827716438,0.0032702617499293114,0.9894066452980042,1.010593295097351,0.7408721301020408,1.0,0.004360897827148437,0.2670381591796875,0.4178,0.9233,194.34853744506836
38,0.7252437046595982,0.0031431794774775604,0.9890801906585693,1.0109196901321411,0.7443693511340083,1.0,0.0051342529296875,0.2640315185546875,0.3887,0.9183,194.3756787776947
39,0.7183660390425701,0.003066059277982128,0.9887535572052002,1.0112464427947998,0.7467874799455915,0.9999800701530612,0.004451694869995118,0.2507274169921875,0.4273,0.9305,195.12419962882996
40,0.708203140570193,0.002920011780699905,0.9884254932403564,1.011574387550354,0.748272720648318,0.9999601403061225,0.00478621826171875,0.2603153564453125,0.4028,0.9239,195.47386741638184
41,0.6952583157286352,0.002928201033144581,0.9881051778793335,1.011894941329956,0.7535551421496333,0.9999800701530612,0.004672550201416016,0.2839751708984375,0.4077,0.9206,194.90061330795288
42,0.6887396209093989,0.002782451254980905,0.987783670425415,1.012216329574585,0.7538227159149793,0.9999800701530612,0.004475949478149414,0.3005860595703125,0.4181,0.9119,194.88649439811707
43,0.6792852440658881,0.00252184591123036,0.9874560236930847,1.012543797492981,0.75876150325853,0.9999800701530612,0.004731227111816406,0.2851235107421875,0.4035,0.9148,196.77255296707153
44,0.6680623268594548,0.002516008609411668,0.9871314764022827,1.0128685235977173,0.7630065606564892,0.9999800701530612,0.004458782196044922,0.2693632568359375,0.4295,0.9189,196.2830786705017
45,0.659509074931242,0.002468899652665975,0.9868101477622986,1.0131897926330566,0.7648448554836974,0.9999800701530612,0.004668958282470703,0.27156591796875,0.4082,0.9261,194.54434943199158
46,0.6488273387052574,0.002396496430951722,0.9864925742149353,1.01350736618042,0.76866001985511,1.0,0.004548551940917969,0.3060520263671875,0.4272,0.8968,195.14382672309875
47,0.6409763803287428,0.002134652770295435,0.9861679077148438,1.0138320922851562,0.7728026253836495,0.9999800701530612,0.004692259979248047,0.293991162109375,0.4154,0.9095,195.44455409049988
48,0.6357699024433993,0.0021565307159813083,0.9858465790748596,1.014153242111206,0.7735684453224649,0.9999800701530612,0.004971471786499024,0.291785498046875,0.4024,0.9039,194.27135801315308
49,0.6300163269042969,0.0020257289312323747,0.9855204224586487,1.0144795179367065,0.7750565665108817,0.9999601403061225,0.004639628601074219,0.2652512939453125,0.4251,0.9316,194.7286376953125
50,0.6197056283756178,0.0020742004319113127,0.985202431678772,1.014797568321228,0.7808855796346859,1.0,0.004447348785400391,0.30027802734375,0.442,0.904,194.23671460151672
