#['main.py', '--data-set=cifar100', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=Groups(eps=0.2, delta=0.09)', '--logic=LK']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.00921081085205078,0.0,0.01,1.0,0.0
1,4.435606975944674,0.0013213116599588978,1.0001606941223145,0.9998393654823303,0.048692411305953046,0.7192899742904975,0.008726985931396484,0.001493665599822998,0.0531,0.2984,178.66214871406555
2,3.977343500876913,0.005486193360114584,1.00052011013031,0.9994800090789795,0.11482439235765107,0.3216041448164959,0.008289564514160156,0.0012775397300720216,0.0743,0.0906,178.58804750442505
3,3.7216136698820153,0.008346330754610956,1.0008388757705688,0.9991611242294312,0.15050925040731625,0.10109367175978057,0.008036640930175781,0.0011401036262512208,0.0864,0.0309,177.88936400413513
4,3.556358493104273,0.010456721393429503,1.0011265277862549,0.9988734126091003,0.1748056411743164,0.04300386565072196,0.007845661163330079,0.0010995686531066894,0.0981,0.0156,177.64413213729858
5,3.4228839485012754,0.012076179591976866,1.0013927221298218,0.9986071586608887,0.19785592993911433,0.024426399445047185,0.007674422454833984,0.0009164721488952636,0.1133,0.0117,178.55495858192444
6,3.315937898596939,0.013211696731800936,1.0016369819641113,0.9983629584312439,0.21442617688860213,0.01619632268438534,0.007396608734130859,0.0008295839309692383,0.1352,0.0096,178.05714106559753
7,3.211955167809311,0.014411860582779865,1.0018746852874756,0.9981253147125244,0.23564576129524076,0.01290599910580382,0.007275775146484375,0.0005627795696258545,0.1494,0.0077,177.7568018436432
8,3.1233816341478,0.015000165725240901,1.0020896196365356,0.9979103803634644,0.25159343408078566,0.011570699360905861,0.007073712158203125,0.0005288389682769775,0.164,0.0093,178.70241498947144
9,3.0380893629424426,0.015565905035758505,1.0022931098937988,0.9977067708969116,0.26718427697006536,0.009907032154044327,0.006955047607421875,0.0003914352416992187,0.1762,0.0107,178.2329239845276
10,2.9611047238719705,0.016180141847960804,1.002489447593689,0.997510552406311,0.2804025143993144,0.009607135033120915,0.00682475814819336,0.0003005732774734497,0.1836,0.0133,177.58882784843445
11,2.888829756756218,0.01662734211707602,1.0026782751083374,0.997321605682373,0.2946789216022102,0.009647944143840246,0.006666790771484375,0.00025691337585449217,0.1992,0.0149,178.06395173072815
12,2.8251429966517856,0.016755178266642044,1.002848505973816,0.9971516132354736,0.3073153982357103,0.009598593930808865,0.006547132110595703,0.0003830325126647949,0.2161,0.0192,178.6936230659485
13,2.765898101183833,0.01719221290276975,1.003017783164978,0.9969823956489563,0.31497509625493264,0.011162611902976523,0.006653913879394531,0.0002538930654525757,0.2036,0.0212,178.8244001865387
14,2.702789306640625,0.01701694240375441,1.0031698942184448,0.9968300461769104,0.3286858772744938,0.012189473424639021,0.00640181655883789,0.00013697540760040282,0.228,0.0218,177.6573874950409
15,2.647032757194675,0.017721069102384607,1.0033293962478638,0.9966704845428467,0.33755563229930646,0.013354895066241828,0.006371638870239258,0.00019462926387786865,0.2274,0.0262,177.97290182113647
16,2.5997152523118623,0.01690372763847818,1.0034562349319458,0.996543824672699,0.34932370088538345,0.01543708966702831,0.006221464157104492,0.000187286376953125,0.244,0.0316,179.01608657836914
17,2.5425894601004466,0.017310749511329496,1.003586769104004,0.9964132905006409,0.357601243622449,0.01583663541443494,0.006119100952148438,0.00014698641300201417,0.2497,0.0287,178.0592041015625
18,2.496381020059391,0.017279551953685527,1.0037122964859009,0.9962877035140991,0.3723616697350327,0.016932776996067593,0.006170096969604492,0.00011606054306030274,0.2463,0.0347,177.6552255153656
19,2.453901329819037,0.017242157945827563,1.0038305521011353,0.9961694478988647,0.37864241308095503,0.018169377531324114,0.006100967025756836,0.00011640493869781495,0.2585,0.0357,177.93577241897583
20,2.4105883228535556,0.017539401443637147,1.0039526224136353,0.9960474967956543,0.38944061434998806,0.020490729078954578,0.006044258499145508,0.00017190762758255006,0.2598,0.0392,178.11519575119019
21,2.369970360580756,0.017542581168972716,1.004069447517395,0.9959304928779602,0.39796486679388554,0.02274375059166733,0.005949680328369141,0.00013878705501556396,0.2701,0.0443,178.20118522644043
22,2.328929823272082,0.01754162262897102,1.0041817426681519,0.9958181381225586,0.4072626074966119,0.023569416026679838,0.006052982711791992,0.00010756350755691528,0.2642,0.0476,178.3752293586731
23,2.2932549301458867,0.017765344405660823,1.004294991493225,0.9957049489021301,0.41467651055783644,0.02572278830469871,0.005906906890869141,4.589008092880249e-05,0.273,0.0576,177.56674075126648
24,2.2558086161710778,0.017691069719742755,1.004406452178955,0.9955934286117554,0.42478666500169404,0.02857465646704849,0.005940472412109375,0.0001444257378578186,0.2727,0.0472,178.76336288452148
25,2.2263224076251595,0.01754129176237145,1.0045080184936523,0.9954919815063477,0.4282373700823103,0.029359510966709683,0.005864103698730469,0.0003933858156204224,0.2752,0.0507,178.24002647399902
26,2.1871619711116868,0.0177173273903983,1.0046113729476929,0.9953886270523071,0.43838925264319595,0.032041498592921665,0.005700162124633789,0.00025751428604125977,0.2952,0.0589,178.7392635345459
27,2.152222458197146,0.017547309398651123,1.004709005355835,0.9952910542488098,0.4449034710319675,0.034495718625127056,0.005842022323608398,0.00012470704317092896,0.2828,0.0602,178.83510875701904
28,2.1169020983637594,0.01745959690638951,1.0048043727874756,0.9951956868171692,0.4541063114088409,0.03629794656013956,0.00568408203125,0.00014114434719085693,0.298,0.0727,177.68649458885193
29,2.0872963107362086,0.01756035430090768,1.004899024963379,0.9951009750366211,0.4612563775510204,0.03692621114302655,0.005712661743164062,9.557169675827026e-05,0.2954,0.0783,178.65721940994263
30,2.0561201134506537,0.017562698344795073,1.0049930810928345,0.995006799697876,0.4665672146544165,0.04091407814804388,0.005666579055786133,0.00011650255918502808,0.2973,0.0665,178.7508647441864
31,2.0237521735989317,0.017477696039238756,1.005083441734314,0.9949164986610413,0.47369925829829,0.04260621752057757,0.005639237213134766,0.00013195747137069702,0.3031,0.0813,177.8702323436737
32,1.9943948862503986,0.017518380466772586,1.0051740407943726,0.9948258996009827,0.48262685658980387,0.04514869378537548,0.005463434219360352,0.00011441669464111328,0.3208,0.0789,177.87766933441162
33,1.968959886200574,0.017309591478231003,1.0052579641342163,0.9947420358657837,0.4866147333261918,0.04644223621913365,0.005547978973388672,0.0001780606508255005,0.3187,0.0865,178.3527569770813
34,1.9404866744060905,0.017456358792830487,1.0053448677062988,0.9946550726890564,0.4941016995176977,0.04848647117614746,0.0054179649353027345,0.00011618255376815796,0.3289,0.0894,177.6775312423706
35,1.9138543265206474,0.017639356000082835,1.0054343938827515,0.9945657253265381,0.5003890991210938,0.05265275799498266,0.0053534019470214845,7.321199178695679e-05,0.334,0.1047,178.12181639671326
36,1.8818770428093112,0.017516441491185402,1.005521535873413,0.9944783449172974,0.5063728021115673,0.055292037068581094,0.005437314605712891,0.0001070980429649353,0.3257,0.1056,179.1097128391266
37,1.8602729330257493,0.01754697609920891,1.0056096315383911,0.9943904280662537,0.5131679457061145,0.057000311053529075,0.005364960479736328,0.00016284403800964354,0.3307,0.1042,177.859046459198
38,1.8354079577387596,0.01752260144875974,1.0056928396224976,0.9943072199821472,0.5187558933180205,0.05888225594345404,0.005491138458251953,0.0002493177890777588,0.3194,0.0992,177.7609875202179
39,1.804398672921317,0.0174385844444742,1.005775809288025,0.9942241311073303,0.5264791761125837,0.06078413554600307,0.005334126281738281,0.00025248827934265137,0.3363,0.0973,177.81330037117004
40,1.7775944301060267,0.017376915532715465,1.0058590173721313,0.9941409230232239,0.5325511231714365,0.0638324533190046,0.005311244201660156,0.0002543820381164551,0.3404,0.1165,178.96895790100098
41,1.754599123584981,0.017440642629350935,1.0059423446655273,0.9940575361251831,0.5411475434595224,0.06632842822950713,0.005200697326660156,0.0002629237174987793,0.3472,0.1155,178.58401131629944
42,1.7311835775569993,0.01745285428300196,1.0060230493545532,0.9939769506454468,0.5446950562146246,0.06827016752593372,0.005359381484985351,4.059585332870484e-05,0.3358,0.1197,178.3893928527832
43,1.707225566007653,0.017333181536927516,1.006103277206421,0.9938966631889343,0.5506550146608936,0.07097492899213519,0.0052892524719238285,0.00013394471406936645,0.3391,0.117,177.82975125312805
44,1.6843560666454083,0.017160611493246897,1.0061774253845215,0.9938225746154785,0.5577434228391064,0.07518392193074129,0.005285369491577149,6.195734739303589e-05,0.3424,0.1306,178.79185819625854
45,1.6561913003726882,0.0173457958260361,1.006256341934204,0.9937436580657959,0.5640156025789222,0.07491724345148826,0.005316361618041992,0.00022949562072753906,0.3432,0.1243,177.70700097084045
46,1.6346627060247927,0.017345828669411794,1.0063377618789673,0.9936621189117432,0.5689344990010164,0.07712850765306123,0.0052459457397460935,0.00011711688041687011,0.3466,0.1311,177.63308024406433
47,1.611128670828683,0.017262542734340747,1.0064150094985962,0.9935851097106934,0.5749580616853676,0.08207110969387756,0.0052810897827148436,0.00010947612524032593,0.3411,0.1331,177.78468203544617
48,1.5828905689473054,0.017290499745583048,1.006496548652649,0.9935035109519958,0.5816763274523676,0.08462402771930305,0.005231923675537109,0.00012872371673583983,0.3475,0.1353,177.66203999519348
49,1.5640970346878986,0.01712141718183245,1.0065722465515137,0.9934277534484863,0.5886356198057836,0.08631616709183673,0.005241510772705078,0.00017253984212875365,0.35,0.1374,177.66684436798096
50,1.5394218600526148,0.017110518046787808,1.006650447845459,0.993349552154541,0.5919734020622409,0.08729272959183673,0.0052495925903320315,0.00014948012828826904,0.347,0.1441,178.2603850364685
