#['main.py', '--data-set=mnist', '--batch-size=256', '--lr=0.0001', '--logic=dl2', '--epochs=50', '--pgd-steps=15', '--constraint=Robustness(eps=0.8, delta=0.01)', '--grad-norm-alpha=0.1']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.009251368713378906,6.849029660224914e-05,0.0842,0.9961,0.0
1,0.853837293259641,0.33009088394489694,1.0077885389328003,0.9922114014625549,0.7722739361702128,0.009253103175061814,0.0011186875343322754,0.33081982421875,0.9276,0.2028,19.998212099075317
2,0.34644697473404257,0.3199460618039395,1.013780117034912,0.9862200021743774,0.9001108372465093,0.10462655412389878,0.0006388664245605469,0.2594372802734375,0.9569,0.4231,18.873310089111328
3,0.24783000540226063,0.2695616864143534,1.0191468000411987,0.9808530807495117,0.9285626999875333,0.20938053536922374,0.00046212711334228516,0.212738427734375,0.9662,0.5802,18.894314765930176
4,0.19701025130900932,0.23581607899767287,1.024182915687561,0.9758171439170837,0.9429853723404256,0.2914949133041057,0.0003606229066848755,0.18513277587890625,0.9727,0.67,19.008792877197266
5,0.16428891445728058,0.20526668467420212,1.028847336769104,0.971152663230896,0.9516456117021277,0.36603500690866025,0.0002988030433654785,0.16456978759765625,0.9766,0.7276,18.96998691558838
6,0.14371052194148937,0.18245153224214594,1.033146858215332,0.9668530821800232,0.9578900925656583,0.4271498335168717,0.00025657637119293214,0.1390662109375,0.9793,0.7774,18.892616748809814
7,0.1268858240005818,0.1666704867748504,1.037341594696045,0.9626582264900208,0.9627992021276596,0.4788619345807015,0.00023877856731414795,0.1247376708984375,0.9809,0.8046,18.926215648651123
8,0.11526382121633975,0.15179980663543052,1.041281819343567,0.9587181210517883,0.9665779925407247,0.5165780250062334,0.0002047595262527466,0.115044287109375,0.9842,0.8237,18.914901733398438
9,0.10476340435920878,0.13952216290413066,1.0451297760009766,0.9548702239990234,0.9687943478848072,0.5527814499875332,0.00018954646587371826,0.1002991455078125,0.985,0.8524,18.89899778366089
10,0.09736702289987118,0.12783083002618018,1.0486823320388794,0.9513176083564758,0.9711158914768949,0.5889240021401263,0.0001798205852508545,0.09636168823242187,0.9851,0.8567,18.996290683746338
11,0.09301347935453375,0.12083742669288149,1.0521360635757446,0.9478638172149658,0.9717807850939162,0.6104222074468085,0.00016992044448852539,0.08971043701171875,0.9859,0.8691,18.957059383392334
12,0.08560424155377327,0.11263516202886054,1.0555208921432495,0.9444792866706848,0.9741411574343417,0.6436391627534906,0.0001547773003578186,0.08023934326171875,0.9869,0.8817,19.002923250198364
13,0.08281902556723737,0.10652348944481382,1.0587403774261475,0.9412595629692078,0.9754155585106383,0.6586768617021277,0.00015132012367248535,0.08171456298828125,0.9865,0.8801,18.871082067489624
14,0.07885934545638713,0.09965896606445312,1.0617403984069824,0.938259482383728,0.9765625,0.6727005978848072,0.0001382986545562744,0.07469629516601563,0.9888,0.8874,18.91989803314209
15,0.07216505497059923,0.09276923321663065,1.064674973487854,0.9353249073028564,0.9774988702002992,0.6988142946933178,0.00013680918216705322,0.06883270263671876,0.9876,0.8997,18.89381742477417
16,0.07068878336155668,0.08794364117561503,1.067442536354065,0.9325574636459351,0.9796819808635305,0.714117886157746,0.00013316020965576172,0.06394595336914062,0.9887,0.9023,18.859338998794556
17,0.06921635079891124,0.08434422269780585,1.0700188875198364,0.9299810528755188,0.9791223404255319,0.7267342425407247,0.00013405495882034302,0.05753239135742187,0.9892,0.9107,18.894135236740112
18,0.06482248509183842,0.0799447404577377,1.0726251602172852,0.9273747801780701,0.980197273416722,0.7358710106382979,0.00012350980043411255,0.05446988525390625,0.9896,0.9166,18.90704846382141
19,0.06266324063564868,0.07728488191645196,1.075317621231079,0.9246823191642761,0.9815658244680852,0.7495345744680851,0.00012287052869796753,0.055299566650390625,0.9902,0.9121,18.928569316864014
20,0.06012934015152302,0.07483104949301862,1.0779272317886353,0.9220727682113647,0.9815824468085106,0.7569315159574468,0.0001218949794769287,0.051700390625,0.9903,0.9209,18.91124725341797
21,0.05810356140136719,0.07469855775224402,1.0809451341629028,0.9190549254417419,0.9818871680726396,0.762555386157746,0.00013022161722183226,0.052623468017578126,0.9893,0.9206,18.882292985916138
22,0.0558202621784616,0.07027122010575965,1.0836883783340454,0.9163115620613098,0.9823858382854056,0.77221296594498,0.00011696702241897584,0.04899171142578125,0.9905,0.9246,19.020421028137207
23,0.05481997550802028,0.06780765208792179,1.0863261222839355,0.913673996925354,0.9832945478723404,0.77700578405502,0.00011690372228622436,0.0461431640625,0.9904,0.9279,18.92924165725708
24,0.05305483391944398,0.06571666230546667,1.0889580249786377,0.9110420346260071,0.9834662904130652,0.7863530585106383,0.00011562174558639526,0.046715213012695316,0.991,0.9259,18.91278648376465
25,0.05061914565715384,0.06590020200039479,1.092021107673645,0.9079787731170654,0.9837433510638298,0.7891567149060837,0.00011198673248291015,0.047094598388671874,0.9907,0.9298,18.91251516342163
26,0.049240672334711605,0.06398945260555186,1.0951224565505981,0.9048775434494019,0.9848238031914893,0.7953069808635306,0.00010188407897949219,0.043491824340820315,0.9918,0.9346,18.892000436782837
27,0.049014696161797704,0.06362981999174078,1.0982730388641357,0.901727020740509,0.9849235372340426,0.7998005319148936,0.00010461153984069824,0.0443704833984375,0.9919,0.9318,18.91362690925598
28,0.048088122428731714,0.061885732285519864,1.101305365562439,0.8986945748329163,0.9853058510638298,0.804632113842254,0.00011303716897964478,0.044091897583007814,0.9909,0.9351,18.984055280685425
29,0.046589104672695725,0.06038620725591132,1.1044232845306396,0.895576536655426,0.9857601733917886,0.8100676191614029,0.00010631581544876098,0.04474156494140625,0.992,0.9353,18.94074773788452
30,0.04669592431251039,0.06121430904307264,1.1077748537063599,0.8922249674797058,0.9856161563954455,0.808809840425532,9.944703578948975e-05,0.04167198486328125,0.9916,0.9368,18.98991560935974
31,0.04415516548968376,0.05871944833309092,1.1111608743667603,0.8888391256332397,0.9863585776471077,0.8169714095744681,0.00010363811254501343,0.03759735412597656,0.9916,0.9388,18.977325916290283
32,0.043524210503760805,0.05820430593287691,1.114721417427063,0.8852784633636475,0.9865636297997008,0.8181183510638298,0.00010164353847503662,0.041675717163085935,0.9918,0.9362,18.991549491882324
33,0.04272359076966631,0.0581153910210792,1.1183478832244873,0.8816519975662231,0.9866688829787233,0.8183289223528923,0.00010740082263946533,0.039440609741210934,0.9918,0.9411,18.97093963623047
34,0.041615258886459026,0.05655049668981674,1.122031569480896,0.877968430519104,0.9868683510638298,0.8256427521401263,0.00010631288290023803,0.03872591247558594,0.9914,0.9405,18.946287393569946
35,0.04031942245808053,0.05433783023915392,1.1256343126296997,0.8743657469749451,0.987804721264129,0.8349789233917886,0.00010815094709396362,0.03957054443359375,0.992,0.9405,18.92181706428528
36,0.04016614061720828,0.054304569325548536,1.129223346710205,0.8707765936851501,0.9872229393492353,0.8290503319273603,9.553977847099304e-05,0.03794347534179687,0.9927,0.9436,19.009433269500732
37,0.03967886579797623,0.05493239544807597,1.1332122087478638,0.8667877912521362,0.9876828457446809,0.8288785244556184,9.706293940544128e-05,0.037278128051757814,0.9923,0.9426,19.049813270568848
38,0.037737448672030834,0.052353749376662234,1.1371674537658691,0.8628325462341309,0.988497340425532,0.8357380319148936,0.00010342037677764893,0.03578743896484375,0.9926,0.9448,18.932589054107666
39,0.037690053087599734,0.05254394855905086,1.141295313835144,0.8587045669555664,0.9880984042553191,0.8383754649060837,9.793468117713929e-05,0.038503955078125,0.9925,0.9421,18.97033929824829
40,0.03563279902681391,0.0509875033764129,1.1455459594726562,0.8544538617134094,0.98828125,0.8432347074468085,0.00010231282711029053,0.0360983642578125,0.9922,0.9455,18.960256099700928
41,0.03689951389393908,0.05088651129539977,1.1496208906173706,0.8503792881965637,0.9886081776720412,0.8447916883103391,9.767807126045227e-05,0.03933067626953125,0.9924,0.9428,19.05738067626953
42,0.03472052635030543,0.05085825818650266,1.1543198823928833,0.8456801772117615,0.9888575127784242,0.846365226583278,0.00010845005512237549,0.03419177856445312,0.9918,0.9495,18.934988498687744
43,0.03466450711514087,0.05062509901980136,1.159011960029602,0.8409881591796875,0.9892952127659574,0.8456061829911902,9.236799478530883e-05,0.032428662109375,0.9929,0.9485,18.98589015007019
44,0.03406346503724443,0.049348956980603806,1.163580060005188,0.8364199995994568,0.9893395606507647,0.8503767946933178,9.6566241979599e-05,0.033257852172851564,0.9923,0.9499,18.914217710494995
45,0.03388162572333153,0.04944998558531416,1.1683340072631836,0.8316660523414612,0.9894614361702128,0.8520833116896609,9.975718855857849e-05,0.0314638427734375,0.9921,0.952,18.948681831359863
46,0.03338404716329372,0.04867981849832738,1.1732200384140015,0.8267800211906433,0.9892619680851064,0.8536181510762966,0.00010484992265701294,0.032461819458007815,0.9925,0.9518,18.90688443183899
47,0.03247723477952024,0.049363866765448385,1.1784014701843262,0.8215985894203186,0.9896664233917886,0.8532579787234043,9.515302777290345e-05,0.03241114501953125,0.9925,0.9499,18.940697193145752
48,0.03141417401902219,0.04769833341557929,1.1836447715759277,0.8163553476333618,0.9901761968085107,0.8594193478848072,9.835052490234375e-05,0.03204740905761719,0.9926,0.9516,19.03858971595764
49,0.030071688712911403,0.04766641170420545,1.1892915964126587,0.8107082843780518,0.9899767287234043,0.8600121680726396,9.929962754249572e-05,0.0281846923828125,0.9932,0.9542,18.954866647720337
50,0.0297240176099412,0.04685135699333028,1.194808006286621,0.8051919341087341,0.9906471414768949,0.8627936829911902,9.149802327156067e-05,0.031007772827148436,0.9929,0.9532,18.99948239326477
